,latitude,longitude,brightness,satellite,frp,daynight,type_2,type_3,scan_binned,year,month,day
211,-16.1733,126.0054,327.3,0,11.5,1,0,0,1,2019,8,1
212,-16.1747,125.996,352.8,0,55.7,1,0,0,1,2019,8,1
213,-15.4381,130.5266,346.6,0,91.1,1,0,0,2,2019,8,1
214,-15.441,130.5098,345.3,0,84.8,1,0,0,2,2019,8,1
215,-16.1643,126.004,331.0,0,15.8,1,0,0,1,2019,8,1
216,-15.4292,130.5077,332.8,0,36.5,1,0,0,2,2019,8,1
217,-15.4435,130.5206,331.5,0,32.8,1,0,0,2,2019,8,1
218,-15.4317,130.5184,357.6,0,152.4,1,0,0,2,2019,8,1
219,-15.4345,130.5017,328.6,0,23.8,1,0,0,2,2019,8,1
220,-15.3797,130.7558,331.9,0,37.8,1,0,0,2,2019,8,1
221,-15.4227,130.4995,345.3,0,83.2,1,0,0,2,2019,8,1
222,-15.4109,130.4973,353.2,0,123.9,1,0,0,2,2019,8,1
223,-15.4137,130.4806,345.1,0,83.0,1,0,0,2,2019,8,1
224,-15.3556,130.7514,327.1,0,24.3,1,0,0,2,2019,8,1
225,-15.4019,130.4785,328.7,0,28.3,1,0,0,2,2019,8,1
226,-15.4047,130.4618,325.2,0,20.9,1,0,0,2,2019,8,1
227,-15.393,130.4597,328.9,0,30.9,1,0,0,2,2019,8,1
228,-16.09,126.005,327.9,0,12.4,1,0,0,1,2019,8,1
229,-16.0914,125.9955,337.3,0,25.2,1,0,0,1,2019,8,1
230,-15.2073,131.3123,322.7,0,23.4,1,0,0,3,2019,8,1
231,-16.0831,125.9264,323.7,0,7.1,1,0,0,1,2019,8,1
232,-16.0845,125.9169,341.2,0,31.5,1,0,0,1,2019,8,1
233,-16.0859,125.9075,333.1,0,19.2,1,0,0,1,2019,8,1
234,-16.0873,125.8981,324.0,0,8.6,1,0,0,1,2019,8,1
235,-15.2051,131.252,323.1,0,23.3,1,0,0,3,2019,8,1
236,-16.0754,125.9155,331.3,0,16.3,1,0,0,1,2019,8,1
237,-16.0768,125.9061,355.1,0,61.3,1,0,0,1,2019,8,1
238,-16.0782,125.8966,369.2,0,103.1,1,0,0,1,2019,8,1
239,-16.0796,125.8872,330.9,0,17.7,1,0,0,1,2019,8,1
240,-15.2049,131.3268,321.1,0,19.1,1,0,0,3,2019,8,1
241,-15.2055,131.2469,324.4,0,29.7,1,0,0,3,2019,8,1
242,-15.1654,131.18,322.4,0,19.0,1,0,0,3,2019,8,1
243,-15.1529,131.1778,339.6,0,83.9,1,0,0,3,2019,8,1
244,-15.0203,131.7745,323.6,0,31.2,1,0,0,3,2019,8,1
245,-15.024,131.7537,323.1,0,29.6,1,0,0,3,2019,8,1
246,-15.1513,131.1702,326.5,0,31.4,1,0,0,3,2019,8,1
247,-15.0231,131.7676,328.3,0,48.5,1,0,0,3,2019,8,1
248,-15.0063,131.7863,321.8,0,22.6,1,0,0,3,2019,8,1
249,-15.01,131.7649,320.8,0,19.9,1,0,0,3,2019,8,1
250,-15.1019,131.0828,324.0,0,25.6,1,0,0,2,2019,8,1
251,-15.1052,131.0639,320.5,0,15.7,1,0,0,2,2019,8,1
252,-15.0928,131.0617,327.1,0,35.3,1,0,0,2,2019,8,1
253,-15.2354,130.231,328.4,0,29.4,1,0,0,2,2019,8,1
254,-14.9462,131.8191,328.3,0,44.7,1,0,0,3,2019,8,1
255,-14.933,131.8167,325.4,0,34.8,1,0,0,3,2019,8,1
256,-15.1955,130.3236,324.5,0,23.1,1,0,0,2,2019,8,1
257,-15.1987,130.3355,327.5,0,28.1,1,0,0,2,2019,8,1
258,-14.938,131.8124,331.4,0,59.8,1,0,0,3,2019,8,1
259,-15.1352,130.4265,323.1,0,17.9,1,0,0,2,2019,8,1
260,-15.138,130.4098,328.8,0,33.0,1,0,0,2,2019,8,1
261,-14.3146,134.9123,320.9,0,90.5,1,0,0,5,2019,8,1
262,-15.0855,130.5753,336.4,0,56.7,1,0,0,2,2019,8,1
263,-15.1813,129.9411,334.9,0,45.1,1,0,0,2,2019,8,1
264,-15.1839,129.9258,339.1,0,60.6,1,0,0,2,2019,8,1
265,-15.1621,129.9849,337.6,0,53.9,1,0,0,2,2019,8,1
266,-14.3102,134.9034,321.6,0,91.9,1,0,0,5,2019,8,1
267,-15.0649,130.5837,324.0,0,20.5,1,0,0,2,2019,8,1
268,-15.1615,129.9945,329.4,0,27.9,1,0,0,2,2019,8,1
269,-15.1642,129.9779,328.9,0,25.3,1,0,0,2,2019,8,1
270,-14.7478,130.6871,328.6,0,37.0,1,0,0,2,2019,8,1
271,-14.6903,130.6577,338.1,0,69.7,1,0,0,2,2019,8,1
272,-14.6781,130.5841,331.5,0,38.0,1,0,0,2,2019,8,1
273,-14.6675,130.6108,340.9,0,72.5,1,0,0,2,2019,8,1
274,-14.6704,130.5937,328.4,0,27.8,1,0,0,2,2019,8,1
275,-14.6525,130.6261,349.8,0,123.2,1,0,0,2,2019,8,1
276,-14.6554,130.6088,340.7,0,72.7,1,0,0,2,2019,8,1
277,-14.6583,130.5915,331.1,0,35.7,1,0,0,2,2019,8,1
278,-14.6462,130.5895,374.0,0,298.1,1,0,0,2,2019,8,1
279,-14.6492,130.5721,327.4,0,27.5,1,0,0,2,2019,8,1
280,-14.3185,130.6756,325.9,0,32.5,1,0,0,2,2019,8,1
281,-14.3149,130.6678,320.9,0,18.0,1,0,0,2,2019,8,1
282,-14.2568,130.7132,325.2,0,30.7,1,0,0,2,2019,8,1
283,-14.2476,130.6929,321.2,0,21.0,1,0,0,2,2019,8,1
284,-14.3457,129.8308,321.8,0,18.7,1,0,0,2,2019,8,1
285,-14.2,130.6596,324.2,0,28.8,1,0,0,2,2019,8,1
286,-14.0453,131.4964,324.2,0,33.6,1,0,0,3,2019,8,1
287,-14.0286,131.5149,321.4,0,23.1,1,0,0,3,2019,8,1
288,-14.7357,126.7584,354.0,0,61.3,1,0,0,2,2019,8,1
289,-14.7264,126.7568,341.0,0,31.0,1,0,0,2,2019,8,1
290,-13.9821,131.244,347.7,0,152.2,1,0,0,3,2019,8,1
291,-13.9856,131.224,338.9,0,101.5,1,0,0,3,2019,8,1
292,-14.7061,126.7638,345.2,0,36.4,1,0,0,2,2019,8,1
293,-14.7076,126.7537,366.3,0,95.5,1,0,0,2,2019,8,1
294,-14.6983,126.7522,345.7,0,38.4,1,0,0,2,2019,8,1
295,-14.6998,126.7421,338.4,0,24.8,1,0,0,2,2019,8,1
296,-14.7013,126.732,345.2,0,40.9,1,0,0,2,2019,8,1
297,-14.163,130.0316,341.8,0,86.1,1,0,0,2,2019,8,1
298,-14.6749,126.7795,332.8,0,17.9,1,0,0,2,2019,8,1
299,-14.6732,126.7275,347.9,0,47.8,1,0,0,2,2019,8,1
300,-14.6748,126.7174,328.9,0,13.3,1,0,0,2,2019,8,1
301,-14.6213,126.9118,326.6,0,10.4,1,0,0,2,2019,8,1
302,-14.0959,130.0311,318.7,0,16.4,1,0,0,2,2019,8,1
303,-13.9893,130.5932,328.1,0,36.9,1,0,0,2,2019,8,1
304,-13.977,130.591,328.5,0,37.9,1,0,0,2,2019,8,1
305,-13.9801,130.573,331.5,0,48.0,1,0,0,2,2019,8,1
306,-14.0032,129.9573,326.1,0,33.5,1,0,0,2,2019,8,1
307,-12.954,135.0368,313.6,0,55.3,1,0,0,5,2019,8,1
308,-13.3642,131.9983,320.0,0,23.2,1,0,0,3,2019,8,1
309,-13.3071,131.9554,322.3,0,30.5,1,0,0,3,2019,8,1
310,-13.0241,132.9584,331.9,0,116.4,1,0,0,4,2019,8,1
311,-13.029,132.9311,325.1,0,70.9,1,0,0,4,2019,8,1
312,-11.4124,130.8343,322.7,0,51.2,1,0,0,3,2019,8,1
313,-11.4017,130.3339,312.7,0,12.0,1,0,0,3,2019,8,1
314,-11.4338,130.4654,328.1,0,50.1,1,0,0,3,2019,8,1
315,-11.4306,130.4848,337.8,0,93.5,1,0,0,3,2019,8,1
316,-11.4273,130.5045,318.2,0,20.1,1,0,0,3,2019,8,1
317,-11.4844,130.2392,317.1,0,20.2,1,0,0,3,2019,8,1
318,-11.4465,130.4676,327.0,0,46.7,1,0,0,3,2019,8,1
319,-11.4433,130.487,344.2,0,127.9,1,0,0,3,2019,8,1
320,-11.4401,130.5067,321.9,0,31.3,1,0,0,3,2019,8,1
321,-11.4028,130.8109,365.4,0,318.8,1,0,0,3,2019,8,1
322,-11.3993,130.832,367.4,0,344.2,1,0,0,3,2019,8,1
323,-11.5063,130.262,327.7,0,48.8,1,0,0,3,2019,8,1
324,-11.4158,130.8133,325.1,0,55.9,1,0,0,3,2019,8,1
325,-12.7927,133.8679,318.4,0,66.8,1,0,0,4,2019,8,1
326,-12.7842,133.8588,316.2,0,53.0,1,0,0,4,2019,8,1
327,-12.8384,132.8834,314.8,0,23.8,1,0,0,4,2019,8,1
328,-12.3181,134.9072,314.5,0,48.1,1,0,0,5,2019,8,1
329,-12.319,134.9024,314.8,0,53.4,1,0,0,5,2019,8,1
330,-12.4504,133.0855,357.8,0,397.2,1,0,0,4,2019,8,1
331,-12.4353,133.0819,321.4,0,57.9,1,0,0,4,2019,8,1
332,-12.4329,133.1044,320.6,0,51.7,1,0,0,4,2019,8,1
333,-12.4379,133.0754,333.7,0,139.2,1,0,0,4,2019,8,1
334,-12.5048,131.4945,324.5,0,38.7,1,0,0,3,2019,8,1
335,-12.5449,131.1883,318.5,0,20.7,1,0,0,3,2019,8,1
336,-12.5103,131.4879,326.5,0,47.6,1,0,0,3,2019,8,1
337,-12.4968,131.4855,321.1,0,28.7,1,0,0,3,2019,8,1
338,-12.4307,131.177,330.8,0,67.1,1,0,0,3,2019,8,1
339,-11.7408,131.0691,313.4,0,15.3,1,0,0,3,2019,8,1
340,-11.6877,130.6695,319.3,0,27.7,1,0,0,3,2019,8,1
341,-11.73,130.4163,321.3,0,29.5,1,0,0,3,2019,8,1
342,-11.6749,130.6672,317.7,0,22.9,1,0,0,3,2019,8,1
343,-11.6922,130.4092,324.4,0,37.7,1,0,0,3,2019,8,1
344,-11.6797,130.407,329.7,0,55.0,1,0,0,3,2019,8,1
345,-11.6671,130.4048,337.9,0,89.8,1,0,0,3,2019,8,1
346,-11.6703,130.3859,341.5,0,104.8,1,0,0,3,2019,8,1
347,-11.6677,130.3996,346.8,0,134.3,1,0,0,3,2019,8,1
348,-11.6582,130.3785,332.4,0,64.3,1,0,0,3,2019,8,1
349,-11.6613,130.3596,338.7,0,93.0,1,0,0,3,2019,8,1
350,-11.6456,130.3764,319.7,0,23.2,1,0,0,3,2019,8,1
351,-11.6488,130.3576,345.8,0,129.5,1,0,0,3,2019,8,1
352,-11.6519,130.3385,347.1,0,136.9,1,0,0,3,2019,8,1
353,-11.5189,130.2697,318.5,0,21.5,1,0,0,3,2019,8,1
354,-11.4081,130.8389,348.3,0,174.7,1,0,0,3,2019,8,1
355,-11.4117,130.8179,360.0,0,263.1,1,0,0,3,2019,8,1
356,-11.5064,130.2674,319.9,0,25.0,1,0,0,3,2019,8,1
357,-11.2365,131.8871,314.1,0,26.8,1,0,0,3,2019,8,1
358,-11.4089,130.8551,311.8,0,21.2,1,0,0,3,2019,8,1
359,-34.463,150.8819,303.9,1,13.5,0,1,0,2,2019,8,1
360,-25.0796,148.3843,301.6,1,12.3,0,0,0,2,2019,8,1
361,-20.7398,139.4731,307.1,1,15.6,0,1,0,2,2019,8,1
362,-13.5219,142.6561,302.6,1,5.5,0,0,0,1,2019,8,1
363,-14.3159,143.5057,304.1,1,5.8,0,0,0,2,2019,8,1
